"番剧名称","追番数","集数","上映时间"
".HACK//Quantum","2.9万追番","全3话","11年1月开播"
"[C]THE MONEY OF SOUL AND POSSIBILITY CONTROL","65.3万追番","全11话","11年4月开播"
"「Free!」2020线上交响音乐会","9.6万追番","全1话","21年2月开播"
"「鬼灭之刃」交响音乐会～鬼灭之奏～","14.8万追番","全2话","22年4月开播"
"+TIC模型姐妹","56.7万追番","全12话","12年8月开播"
"×××HOLiC","220.8万追番","全24话","06年4月开播"
"×××HOLiC 仲夏夜之梦","24.2万追番","全1话","05年8月开播"
"×××HOLiC 笼","30.8万追番","全1话","10年4月开播"
"×××HOLiC 笼 徒梦","16.4万追番","全1话","11年3月开播"
"11eyes","31.8万追番","全12话","09年10月开播"
"18if 梦境异闻录","29.7万追番","全13话","17年7月开播"
"2.43清阴高中男子排球社","30.9万追番","全12话","21年1月开播"
"22/7","139.3万追番","全13话","20年1月开播"
"3年Z组银八老师","488.5万追番","全12话","25年10月开播"
"3月的狮子 第二季","71万追番","全22话","17年10月开播"
"ACCA13区监察课－Regards","20.9万追番","全1话","20年3月开播"
"Active Raid -机动强袭室第八课-","4.4万追番","全12话","16年1月开播"
"Active Raid -机动强袭室第八课- 2nd","4.3万追番","全12话","16年7月开播"
"AIR","174.6万追番","全12话","05年1月开播"
"AIR 剧场版","10.5万追番","全1话","05年2月开播"
"Akubi girl","4.3万追番","全26话","06年4月开播"
"ALDNOAH.ZERO","68万追番","全12话","14年7月开播"
"ALDNOAH.ZERO 第二季","22.7万追番","全12话","15年1月开播"
"Ange Vierge","76.1万追番","全12话","16年7月开播"
"Angel Beats!","318.4万追番","全13话","10年4月开播"
"Angels of Death","584.6万追番","全16话","18年7月开播"
"ANIMAYELL!","52.1万追番","全12话","18年10月开播"
"Anne Happy","91.1万追番","全12话","16年4月开播"
"ARGONAVIS from BanG Dream! 梦想协奏曲","13.4万追番","全13话","20年4月开播"
"AURA ～魔龙院光牙最后的战斗～","40.5万追番","全1话","13年4月开播"
"B-PROJECT～绝顶＊Emotion～","20.4万追番","全12话","19年1月开播"
"BALDR FORCE EXE RESOLUTION","2万追番","全4话","06年11月开播"
"BanG Dream! OVA","16.3万追番","全1话","17年8月开播"
"BanG Dream! 少女乐团派对☆PICO","30.8万追番","全26话","18年7月开播"
"BanG Dream! 梦想协奏曲 电影演唱会","53.4万追番","全1话","20年1月开播"
"BanG Dream! 梦想协奏曲 第三季","71.6万追番","更新至第13话","元组迷你动画开播"
"BanG Dream! 第二季","45.2万追番","全13话","19年1月开播"
"BECK","11.3万追番","全26话","04年10月开播"
"BEM","52.7万追番","全12话","19年7月开播"
"BLACK CAT","30.3万追番","全24话","05年10月开播"
"BLACK★ROCK SHOOTER OVA","22.8万追番","全1话","10年7月开播"
"BT21 UNIVERSE动画","11.2万追番","全9话","19年7月开播"
"BT21 UNIVERSE动画 第二季","12.3万追番","全15话","20年9月开播"
"BUDDY COMPLEX","55.8万追番","全13话","14年1月开播"
"Butlers～千年百年物语～","32.8万追番","全12话","18年4月开播"
"Caligula 卡里古拉","93.8万追番","全12话","18年4月开播"
"CANNON BUSTERS","19.6万追番","全12话","19年8月开播"
"CANVAS2 七彩的素描","10.4万追番","全24话","05年10月开播"
"CAROLE & TUESDAY","247.5万追番","全25话","19年4月开播"
"ChargeMan研","1.8万追番","全65话","73年7月开播"
"Charlotte","645.7万追番","全13话","15年7月开播"
"Charlotte SP","76.9万追番","全2话","15年6月开播"
"CLANNAD ～AFTER STORY～另一个世界 杏篇","61.8万追番","全1话","09年5月开播"
"Classica Loid 第二季","8.8万追番","全25话","17年10月开播"
"Classroom☆Crisis","49.8万追番","全13话","15年7月开播"
"Code Geass 亡国的阿基德","36.3万追番","全5话","12年8月开播"
"Code Geass 反叛的鲁路修 娜娜莉梦游仙境","32.9万追番","全1话","12年7月开播"
"Code:Realize ～创世的姬君～","82万追番","全12话","17年10月开播"
"Comic Girls","137.8万追番","全12话","18年4月开播"
"Concrete Revolutio 超人幻想 第一季","62.2万追番","全13话","15年10月开播"
"Concrete Revolutio 超人幻想 第二季","22.9万追番","全12话","16年4月开播"
"COP CRAFT","150.1万追番","全13话","19年7月开播"
"Crane Game Girls","6.8万追番","全12话","16年4月开播"
"Crane Game Girls 第二季","4.2万追番","全12话","16年10月开播"
"CROSS FIGHT 弹珠人","1.1万追番","全52话","11年10月开播"
"Dance with Devils","46.3万追番","全12话","15年10月开播"
"DARKER THAN BLACK -流星的双子-","46.7万追番","全12话","09年10月开播"
"DARKER THAN BLACK -黑之契约者-","192.1万追番","全26话","07年4月开播"
"DARKER THAN BLACK -黑之契约者- 外传","32.1万追番","全4话","10年1月开播"
"DEPTH OF FIELD ～ 爱与憎恨的剧场","49.7万追番","全7话","12年12月开播"
"DI GI CHARAT Nyo","1.5万追番","全50话","03年4月开播"
"Di Gi Charat Panyo Panyo","1万追番","全48话","02年1月开播"
"DOG DAYS","50.8万追番","全13话","11年4月开播"
"DOUBLE CIRCLE","2.3万追番","全4话","13年12月开播"
"Ｄｒ．ＳＴＯＮＥ 石纪元","388.2万追番","全24话","19年7月开播"
"Ｄｒ．ＳＴＯＮＥ 石纪元  (第二季)","389.4万追番","全11话","21年1月开播"
"Ｄｒ．ＳＴＯＮＥ 石纪元 (第三季)","456.6万追番","全22话","23年4月开播"
"Ｄｒ．ＳＴＯＮＥ 石纪元 (第四季)","498.1万追番","全24话","2025-07-10开播"
"Ｄｒ．ＳＴＯＮＥ 石纪元 特别篇：龙水","415.5万追番","全2话","22年10月开播"
"Ｄｒ．ＳＴＯＮＥ 石纪元 粤配版","4.6万追番","全24话","22年1月开播"
"ENDRO~!","75.9万追番","全12话","19年1月开播"
"EVA 新世纪福音战士新剧场版1.11：序","100.4万追番","全1话","07年9月开播"
"EVA 新世纪福音战士新剧场版2.22：破","87.1万追番","全1话","09年6月开播"
"EVA 新世纪福音战士新剧场版3.33：Q","89.3万追番","全1话","12年11月开播"
"Fantasista Doll","20.4万追番","全12话","13年7月开播"
"Fate/Apocrypha","438.8万追番","全25话","17年7月开播"
"Fate/EXTRA Last Encore","328.9万追番","全13话","18年1月开播"
"Fate/kaleid liner 魔法少女☆伊莉雅 Prisma☆Phantasm","167.4万追番","全1话","19年8月开播"
"Fate/kaleid liner 魔法少女☆伊莉雅：雪下的誓言","116.6万追番","全1话","18年1月开播"
"Fate/stay night [Unlimited Blade Works] 特典","125万追番","全1话","15年10月开播"
"Fate/stay night [Unlimited Blade Works] 第一季","536.8万追番","全13话","14年10月开播"
"Fate/stay night [Unlimited Blade Works] 第二季","354.4万追番","全13话","15年4月开播"
"Fate/stay night UNLIMITED BLADE WORKS","97万追番","全1话","10年1月开播"
"Fate/Zero 第一季","512.1万追番","全13话","11年10月开播"
"FORTUNE ARTERIAL -赤之约定-","50.1万追番","全12话","10年10月开播"
"FORTUNE ARTERIAL -赤之约束- OAD","6.2万追番","全1话","11年2月开播"
"Four of a Kind 四牌士","2万追番","全27话","18年4月开播"
"Four of a Kind 四牌士 第二季","1.4万追番","全12话","19年10月开播"
"Free!","229.8万追番","全12话","13年7月开播"
"Free! -Eternal Summer-","89.9万追番","全14话","14年7月开播"
"Free!-Dive to the Future-","135.4万追番","全12话","18年7月开播"
"Free!-Road to the World-梦","135.9万追番","全1话","19年7月开播"
"GA 艺术科美术设计班","12.3万追番","全12话","09年7月开播"
"GA 艺术科美术设计班 OVA","9925追番","全1话","10年4月开播"
"GAMERS电玩咖！","158.6万追番","全12话","17年7月开播"
"GJ部","116.7万追番","全12话","13年1月开播"
"GJ部@","19.8万追番","全1话","14年5月开播"
"GO!GO!575","5.4万追番","全5话","14年1月开播"
"Good Morning!!! DORONJO","1576追番","全50话","15年3月开播"
"GOSICK","212.7万追番","全24话","11年1月开播"
"GR铁甲人","6726追番","全13话","07年1月开播"
"Happiness!","6.2万追番","全12话","06年10月开播"
"Happiness! 渡良濑准华丽的一天","1.3万追番","全1话","07年1月开播"
"Hello Kitty 苹果森林 第一季","4.6万追番","全13话","06年4月开播"
"Hello Kitty 苹果森林 第三季","4.6万追番","全27话","07年10月开播"
"Hello Kitty 苹果森林 第二季","1.4万追番","全13话","07年1月开播"
"HELLO!! 黄金拼图","23.3万追番","全12话","15年4月开播"
"HEROMAN","5.5万追番","全26话","10年4月开播"
"HEROMAN（中配版）","3.3万追番","全26话","10年4月开播"
"HUMAN LOST 人间失格","14万追番","全1话","21年3月开播"
"IDOLiSH7-偶像星愿-","68.8万追番","全17话","18年1月开播"
"IDOLiSH7-偶像星愿- Second BEAT!","62.3万追番","全15话","20年4月开播"
"Infini-T Force","36万追番","全12话","17年10月开播"
"ISLAND","186万追番","全12话","18年7月开播"
"JOESTAR RADIO","21.4万追番","全21话",
"JOJO的奇妙冒险","673.3万追番","全26话","12年10月开播"
"JOJO的奇妙冒险 不灭钻石","397.1万追番","全39话","16年3月开播"
"JOJO的奇妙冒险 星尘远征军","541万追番","全24话","14年4月开播"
"JOJO的奇妙冒险 星尘远征军 埃及篇","499.5万追番","全24话","15年1月开播"
"JOJO的奇妙冒险 石之海","828万追番","全38话","2022年12月1日Part3开播"
"JOJO的奇妙冒险 黄金之风","572.9万追番","全39话","18年10月开播"
"Just Because!","202.1万追番","全13话","17年10月开播"
"K","280.7万追番","全13话","12年10月开播"
"K MISSING KINGS","63万追番","全2话","14年7月开播"
"K RETURN OF KINGS","185.9万追番","全13话","15年10月开播"
"KANON / 雪之少女（京都版）","60.1万追番","全24话","06年10月开播"
"KARNEVAL狂欢节","80.9万追番","全13话","13年4月开播"
"KEMURIKUSA","58.6万追番","全12话","19年1月开播"
"LEVEL E","18万追番","全13话","11年1月开播"
"Little Busters!","160万追番","全26话","12年10月开播"
"Little Busters! ～Refrain～","58.5万追番","全13话","13年10月开播"
"Little Busters! EX","41万追番","全8话","14年1月开播"
"LORD of VERMILION 红莲之王","37.6万追番","全12话","18年7月开播"
"LOST SONG 失落的歌谣","42.4万追番","全12话","18年3月开播"
"Love All Play热血羽毛球 / 羽球青春","24.5万追番","全24话","22年5月开播"
"Love Live! School Idol Project","212.5万追番","全13话","13年1月开播"
"Love Live! School Idol Project（第二季）","112万追番","全13话","14年4月开播"
"Love Live! 学园偶像 电影","169.9万追番","全1话","20年11月开播"
"Love Live！虹咲学园学园偶像同好会","69万追番","全13话","20年10月开播"
"LoveLive 爱与演唱会!超级明星!!","134.9万追番","全12话","21年8月开播"
"LoveLive 爱与演唱会!超级明星!! 第二季","121万追番","全12话","23年4月开播"
"LoveLive! Sunshine!! 学园偶像 电影 彩虹彼端","116.7万追番","全1话","20年4月开播"
"Macross Plus OVA","4.2万追番","全4话","94年8月开播"
"MS动画图鉴 第二季","5.7万追番","全76话","16年8月开播"
"MYSELF;YOURSELF","29.3万追番","全13话","07年10月开播"
"NANA","160.6万追番","全50话","06年4月开播"
"NARUTO to BORUTO THE LIVE 2019","133.9万追番","全1话","19年10月开播"
"NEEDLESS","5.1万追番","全24话","09年7月开播"
"NEKOPARA EXTRA 小猫篇（猫娘乐园）","60.2万追番","全1话","18年7月开播"
"NEW GAME!","177.5万追番","全12话","16年7月开播"
"NEW GAME!!","116.9万追番","全12话","17年7月开播"
"NO GAME NO LIFE 游戏人生","523.3万追番","全12话","14年4月开播"
"One Room 第三季","219.1万追番","全12话","20年10月开播"
"One Room 第二季","124.5万追番","全13话","18年7月开播"
"ONE～辉之季节～","6.5万追番","全4话","01年8月开播"
"Onyankopon","9195追番","全12话","17年10月开播"
"OVERLORD","692.6万追番","全13话","15年7月开播"
"OVERLORD Ⅱ","570.4万追番","全13话","18年1月开播"
"OVERLORD Ⅱ SP","38.1万追番","全13话","18年1月开播"
"OVERLORD Ⅲ","581.4万追番","全13话","18年7月开播"
"OVERLORD Ⅲ SP","34.9万追番","全13话","18年7月开播"
"OVERLORD OAD","30.5万追番","全1话","16年9月开播"
"OVERLORD SP","62.5万追番","全8话","15年8月开播"
"OZMAFIA!!","34.2万追番","全12话","16年7月开播"
"Peeping Life","4.4万追番","全12话","15年10月开播"
"Peeping Life×怪兽酒场 怪兽们的所在之处","9693追番","全10话","15年7月开播"
"PLUTO 冥王","9.5万追番","全8话","25年9月开播"
"pop子和pipi美的日常","228.6万追番","全16话","18年1月开播"
"pop子和pipi美的日常 第二季","228.9万追番","全12话","22年10月开播"
"PUI PUI 天竺鼠车车","5.9万追番","全12话","23年3月开播"
"PUI PUI 天竺鼠车车 驾校篇","3.4万追番","全12话","23年3月开播"
"Punch Line","37.3万追番","全12话","15年4月开播"
"PUNKISS！2次元","1.1万追番","全24话","15年1月开播"
"Q弟侦探因幡","67.1万追番","全12话","13年1月开播"
"Q版！黑色四叶草","108万追番","全8话","20年1月开播"
"Q版猫和老鼠 第一季","6.8万追番","全13话","21年11月开播"
"Q版猫和老鼠 第二季","4.4万追番","全13话","21年11月开播"
"Ragnastrike Angels","9.4万追番","全12话","16年4月开播"
"RAIL WARS!-日本国有铁道公安队-","57万追番","全12话","14年7月开播"
"Re:Stage！Dream Days♪","20.3万追番","全12话","19年7月开播"
"Re：从零开始休息时间","60.5万追番","全25话","16年4月开播"
"Re：从零开始的异世界生活 Memory Snow(雪之回忆)","500.3万追番","全1话","20年1月开播"
"Re：从零开始的异世界生活 冰结之绊","496.7万追番","全1话","20年5月开播"
"Re：从零开始的异世界生活 新编集版","689.2万追番","全13话","20年1月开播"
"Re：从零开始的异世界生活 第二季 前半","799.7万追番","全13话","20年7月开播"
"Re：从零开始的异世界生活 第二季 后半","875.3万追番","全12话","21年1月开播"
"Regalia 三圣星","40.5万追番","全13话","16年7月开播"
"ReLIFE","309.6万追番","全13话","16年7月开播"
"ReLIFE 完结篇","153.3万追番","全4话","18年4月开播"
"revisions","84.7万追番","全12话","19年1月开播"
"Rewrite","186.8万追番","全13话","16年7月开播"
"RobiHachi","46.4万追番","全12话","19年4月开播"
"RPG不动产","56.9万追番","全12话","22年4月开播"
"SD高达三国传 Brave Battle Warriors","20.7万追番","全51话","10年4月开播"
"SHOW BY ROCK!! Short!!","21.6万追番","全12话","16年7月开播"
"SHUFFLE","46万追番","全24话","05年7月开播"
"SOLA","58.9万追番","全13话","07年4月开播"
"SSSS.电光机王","195.1万追番","全12话","21年4月开播"
"STARRY☆SKY","11.2万追番","全26话","10年12月开播"
"SUSHI POLICE","9.2万追番","全13话","16年1月开播"
"SWORD GAI 装刀凯 The Animation","16.2万追番","全12话","18年4月开播"
"SWORD GAI 装刀凯 The Animation II","7万追番","全12话","18年7月开播"
"Taboo Tattoo－禁忌咒纹－","93万追番","全12话","16年7月开播"
"Thunderbolt Fantasy 东离剑游纪","40.8万追番","全13话","16年7月开播"
"Thunderbolt Fantasy 东离剑游纪 生死一剑","6.6万追番","全1话","17年12月开播"
"Thunderbolt Fantasy 东离剑游纪 西幽玹歌","39.7万追番","全1话","20年1月开播"
"Thunderbolt Fantasy 东离剑游纪2","2万追番","全13话","21年5月开播"
"To Heart 回忆永恒","2.4万追番","全13话","04年10月开播"
"TRICKSTER","83万追番","全24话","16年10月开播"
"TRINITY SEVEN 七人魔法使 剧场版 2","57.4万追番","全1话","19年3月开播"
"TSUKIPRO","30.1万追番","全13话","17年10月开播"
"ULTRAMAN 机动奥特曼","77.9万追番","全13话","19年4月开播"
"ULTRAMAN 机动奥特曼 第二季","219.4万追番","全6话","22年4月开播"
"ULTRAMAN 机动奥特曼 第二季（中配）","211万追番","全6话","22年4月开播"
"ULTRAMAN 机动奥特曼 终章","219.2万追番","全12话","23年5月开播"
"ULTRAMAN 机动奥特曼 终章（中配）","207.1万追番","全12话","23年5月开播"
"ULTRAMAN 机动奥特曼（中配）","9.8万追番","全13话","19年4月开播"
"Under The Dog","20万追番","全1话","16年8月开播"
"UQ HOLDER！悠久持有者 OAD","36.4万追番","全3话","17年9月开播"
"UQ HOLDER！悠久持有者！","123.1万追番","全12话","17年10月开播"
"URAHARA","42.8万追番","全12话","17年10月开播"
"VENUS PROJECT -CLIMAX-","16.7万追番","全6话","15年7月开播"
"ViVid Strike!","38.4万追番","全12话","16年10月开播"
"VIVIDRED OPERATION","22.3万追番","全12话","13年1月开播"
"Wake Up, Girls! 新章","17.1万追番","全12话","17年10月开播"
"WWW.迷糊餐厅","90万追番","全13话","16年10月开播"
"Xi AVANT","1.3万追番","全4话","11年4月开播"
"X战警","2.8万追番","全12话","11年4月开播"
"X战警：进化","2.9万追番","全13话","00年11月开播"
"X战记","23.4万追番","全25话","01年10月开播"
"X特遣队的奇幻之旅","34万追番","全10话","24年6月开播"
"Yakka Dee 开口说英语 第一季","5.9万追番","全20话","25年8月开播"
"Yakka Dee 开口说英语 第一季 中文配音","5346追番","全20话","25年8月开播"
"Yakka Dee 开口说英语 第三季","5314追番","全20话","25年8月开播"
"Yakka Dee 开口说英语 第三季 中文配音","1374追番","全20话","25年8月开播"
"Yakka Dee 开口说英语 第二季","1.1万追番","全20话","25年8月开播"
"Yakka Dee 开口说英语 第二季 中文配音","1586追番","全20话","25年8月开播"
"Yakka Dee 开口说英语 第五季","1.5万追番","全20话","25年8月开播"
"Yakka Dee 开口说英语 第四季 中文配音","1550追番","全20话","25年8月开播"
"Z计划","9905追番","全1话","10年5月开播"
"一个人的〇〇小日子","123.3万追番","全12话","19年4月开播"
"一周的朋友。","142.8万追番","全12话","14年4月开播"
"一期一会~你的话语~","1.2万追番","全13话","10年10月开播"
"一杆青空","10.7万追番","全1话","22年1月开播"
"丁丁历险记 第一季","4.9万追番","全13话","25年5月开播"
"丁丁历险记 第一季 中文配音","1万追番","全13话","敬请期待开播"
"七武士","15万追番","全26话","04年6月开播"
"万能蔬菜卜卜侠","2400追番","全1话","11年3月开播"
"三丽鸥男子","50.5万追番","全12话","18年1月开播"
"三千里寻母记","2.7万追番","全52话","76年1月开播"
"三坪房间的侵略者！","111.8万追番","全12话","14年7月开播"
"三者三叶","45.1万追番","全12话","16年4月开播"
"三颗星彩色冒险","49.7万追番","全12话","18年1月开播"
"上班族想被治愈","49.6万追番","全12话","22年4月开播"
"上课小动作 OAD","10.8万追番","全1话","14年1月开播"
"不动声色的柏田与喜形于色的太田","33.8万追番","全12话","25年10月开播"
"不可思议的粗点心店钱天堂","1万追番","全20话","25年5月开播"
"不吉波普不笑","148.1万追番","全18话","2019年1月开播"
"不思议美眉","17.6万追番","全12话","15年10月开播"
"不愉快的怪物庵","97.9万追番","全13话","2016年6月开播"
"不愉快的怪物庵 续","73.7万追番","全13话","19年1月开播"
"不时用俄语小声说真心话的邻桌艾莉同学","238.2万追番","全12话","24年7月开播"
"不正经的魔术讲师与禁忌教典","245.6万追番","全12话","20年9月开播"
"不知情的转学生硬要凑上来。","23.7万追番","全13话","23年6月开播"
"不能播放","5.7万追番","全12话","22年3月开播"
"与变成了异世界美少女的好友一起冒险","213.2万追番","全12话","22年1月开播"
"与汪汪喵喵同居的开心日常","15.7万追番","全24话","20年10月开播"
"与汪汪喵喵同居的开心日常 中配版","1.6万追番","全24话","21年4月开播"
"世嘉硬件女孩","6.9万追番","全13话","14年10月开播"
"世界尽头的圣骑士","213万追番","全12话","21年10月开播"
"世界征服 谋略之星","52.4万追番","全12话","14年1月开播"
"世界征服 谋略之星 OVA","7万追番","全1话","14年10月开播"
"世界末日柴犬为伴","8.2万追番","全72话","22年8月开播"
"世界顶尖的暗杀者,转生为异世界贵族","528万追番","全12话","21年10月开播"
"世界魔女出发！","41.8万追番","全12话","21年1月开播"
"东之伊甸","20.6万追番","全11话","09年4月开播"
"东之伊甸II -Paradise Lost","2.4万追番","全2话","10年3月开播"
"东京24区","11.5万追番","全12话","22年2月开播"
"东京地下城","2.4万追番","全26话","02年4月开播"
"东京地震8.0","21.4万追番","全11话","09年7月开播"
"东京教父","43.1万追番","全1话","03年11月开播"
"东京猫猫","22.8万追番","全52话","02年4月开播"
"东岛丹三郎想成为假面骑士","45.6万追番","更新至第12话","25年10月开播"
"东方少年","43.5万追番","全12话","22年1月开播"
"东方少年 第二季","44.9万追番","全12话","22年7月开播"
"东月西阳","2.8万追番","全17话","04年6月开播"
"丝缎女孩对谈","1.3万追番","全12话","17年10月开播"
"中二病也要谈恋爱！","674.2万追番","全13话","12年10月开播"
"中二病也要谈恋爱！Lite","52.8万追番","全1话","12年9月开播"
"中二病也要谈恋爱！恋","372.3万追番","全13话","14年1月开播"
"中二病也要谈恋爱！恋 Lite","71万追番","全6话","13年12月开播"
"中二病也要谈恋爱！恋 SP","66.7万追番","全7话","14年3月开播"
"中间管理录利根川","47.5万追番","全24话","2018年7月开播"
"丹特丽安的书架","123.7万追番","全12话","11年7月开播"
"丹特丽安的书架 OVA 荆姬","8.9万追番","全1话","12年8月开播"
"为什么猫都叫不来","6.5万追番","全12话","15年10月开播"
"为你着迷","6万追番","全5话","25年11月开播"
"为美好的世界献上爆焰！","126.6万追番","全12话","23年10月开播"
"主宰七魔剑","43.7万追番","全15话","23年7月开播"
"久保同学不放过我","132万追番","全12话","23年1月开播"
"乌瑟的穷困生活","6.3万追番","全12话","12年10月开播"
"乌瑟的穷困生活 梦幻篇","6.5万追番","全13话","15年7月开播"
"乌龙派出所特别篇2016：THE FINAL 两津勘吉最后的一天","2.6万追番","全1话","16年9月开播"
"乐一通 第一季 中文配音","2546追番","全31话","25年9月开播"
"乐一通 第三季","985追番","全9话","25年9月开播"
"乐一通 第三季 中文配音","1355追番","全9话","25年9月开播"
"乐一通 第二季","721追番","全11话","25年9月开播"
"乐一通 第二季 中文配音","729追番","全11话","25年9月开播"
"乐一通秀场 第一季","1913追番","全26话","25年9月开播"
"乐一通秀场 第一季 中文配音","1870追番","全26话","25年9月开播"
"乐高 梦境城猎人","9899追番","全10话","23年11月开播"
"乐高悟空小侠之英雄出世","2.7万追番","全1话","23年9月开播"
"乐高星球大战 节日特送","1564追番","全1话","24年9月开播"
"乐高星球大战 节日特送 中文配音","924追番","全1话","24年9月开播"
"乐高星球大战：机器人传奇 第一季","2507追番","全5话","24年10月开播"
"乐高星球大战：机器人传奇 第一季 中文配音","1692追番","全5话","24年10月开播"
"乐高星球大战：重建银河系","1600追番","全4话","25年5月开播"
"乐高漫威复仇者联盟 实习生洛基 中文配音","1340追番","全1话","24年9月开播"
"乐高迪士尼公主：城堡大冒险","1965追番","全1话","24年7月开播"
"乐高迪士尼公主：城堡大冒险 中文配音","1397追番","全1话","24年7月开播"
"乒乓","65.7万追番","全11话","14年4月开播"
"乡下大叔成为剑圣","22.6万追番","全12话","25年4月开播"
"书店里的骷髅店员本田","81.9万追番","全12话","18年10月开播"
"书虫公主","58.2万追番","全12话","22年10月开播"
"云之彼端，约定的地方","122.9万追番","全1话","04年11月开播"
"五星物语","5.5万追番","全1话","89年3月开播"
"五等分的新娘","497.4万追番","全12话","19年1月开播"
"五等分的新娘∬","511.5万追番","全12话","21年1月开播"
"亚刻奥特曼","188.7万追番","全29话","24年6月开播"
"亚刻奥特曼 大电影 超次元大决战！ 光与暗的亚刻","207.1万追番","全1话","25年2月开播"
"亚刻奥特曼 大电影 超次元大决战！光与暗的亚刻（中配）","205.8万追番","全1话","25年2月开播"
"亚刻奥特曼（中配）","86.5万追番","全29话","24年6月开播"
"亚尔斯兰战记","45.1万追番","全25话","15年4月开播"
"亚尔斯兰战记 风尘乱舞","34.7万追番","全8话","16年7月开播"
"亚托莉 -我挚爱的时光-","64.7万追番","全13话","24年7月开播"
"交响情人梦","22.5万追番","全23话","07年1月开播"
"交响情人梦 OAD","2.1万追番","全2话","09年8月开播"
"交响诗篇 第一季","31.1万追番","全50话","05年4月开播"
"交响诗篇 超进化1","2.5万追剧","2017年9月16日上映","21年7月开播"
"交响诗篇 超进化2","2.5万追剧","2018年11月10日上映","21年7月开播"
"亦叶亦花","20万追番","全12话","24年7月开播"
"京四郎和永远的天空","11.4万追番","全12话","07年1月开播"
"人形电脑天使心","73.5万追番","全28话","02年4月开播"
"人生交叉点-HUMAN SCRAMBLE-","2.2万追番","全13话","03年4月开播"
"人造人009","3.1万追番","全48话","01年10月开播"
"人马少女的烦恼","73.1万追番","全12话","17年7月开播"
"人鱼之森","12.6万追番","全13话","03年10月开播"
"人鱼之森 OVA","2.2万追番","全1话","91年8月开播"
"人鱼的旋律","23.1万追番","全50话","03年4月开播"
"人鱼的旋律Pure","9.5万追番","全39话","04年4月开播"
"今天开始做魔王 第一季","73.5万追番","全39话","04年4月开播"
"今天开始做魔王 第二季","14.4万追番","全39话","05年4月开播"
"从很久以前就喜欢你了。～告白实行委员会～","119万追番","全1话","16年4月开播"
"付丧神出租中","49.5万追番","全12话","18年7月开播"
"仙乐传说 西尔瓦蓝特篇","2.2万追番","全4话","07年1月开播"
"仙乐传说 迪赛雅兰篇","5631追番","全4话","10年3月开播"
"仙境传说","3.1万追番","全26话","04年4月开播"
"仰望半月的夜空","8.6万追番","全6话","06年1月开播"
"仰望天空的少女瞳中的世界","5.9万追番","全9话","09年1月开播"
"企鹅公路","53.2万追剧","2018年8月17日上映","19年7月开播"
"企鹅家族 第一季","12.8万追番","全26话","23年8月开播"
"企鹅家族 第三季","1.4万追番","全26话","23年8月开播"
"企鹅家族 第二季","2.4万追番","全26话","23年8月开播"
"企鹅家族 第五季","1.1万追番","全26话","23年8月开播"
"企鹅家族 第六季","1.4万追番","全26话","23年8月开播"
"企鹅家族 第四季","1.2万追番","全26话","23年8月开播"
"伊利亚：杰拉姆","6.8万追番","全6话","94年6月开播"
"伊甸星原 EDENS ZERO","138.8万追番","全25话","21年4月开播"
"伊甸星原 EDENS ZERO 第二季","136万追番","全25话","24年8月开播"
"伏 铁炮娘的捕物帐","15.1万追番","全1话","12年10月开播"
"众神的恶作剧","34万追番","全12话","14年4月开播"
"优莱卡 交响诗篇 超进化","30.7万追番","全1话","24年11月开播"
"会长是女仆大人！","374万追番","全26话","10年4月开播"
"传说中勇者的传说","77.8万追番","全24话","10年7月开播"
"传说巨神伊迪安","3.1万追番","全39话","80年5月开播"
"传颂之物","40.3万追番","全26话","06年4月开播"
"传颂之物 二人的白皇","51.2万追番","全28话","22年9月开播"
"伪恋","273.4万追番","全20话","14年1月开播"
"伪恋：","205.8万追番","全12话","15年4月开播"
"伯纳德小姐说。","24.2万追番","全12话","16年10月开播"
"伽利略少女","16.4万追番","全11话","13年10月开播"
"佐佐桑比","1.7万追番","全102话","20年12月开播"
"佐贺偶像是传奇 卷土重来","157.8万追番","全12话","21年4月开播"
"体操武士","38.1万追番","全11话","20年10月开播"
"佝偻猫 第一季","9万追番","全50话","09年7月开播"
"佝偻猫 第二季","2.6万追番","全50话","10年7月开播"
"你与我最后的战场，亦或是世界起始的圣战","248.8万追番","全12话","20年10月开播"
"你与我最后的战场，亦或是世界起始的圣战 第二季","242.6万追番","全12话","2025-04-10开播"
"你好七叶 第二季","2.3万追番","全13话","13年4月开播"
"你想活出怎样的人生","52.9万追剧","敬请期待","24年11月开播"
"你是彼方","9.6万追番","全1话","21年9月开播"
"佩琳物语","2万追番","全53话","78年1月开播"
"依靠最弱辅助职能【话术士】的我统领世界最强氏族","42.7万追番","全12话","24年9月开播"
"侦探学园Q","6.5万追番","全45话","03年4月开播"
"侦探已死","268.3万追番","全12话","21年7月开播"
"侦探歌剧 夏日特别篇","2.4万追番","全1话","11年8月开播"
"侦探歌剧 少女福尔摩斯","15.3万追番","全12话","10年10月开播"
"便·当","42.2万追番","全12话","11年10月开播"
"信长之枪","2.5万追番","全13话","14年1月开播"
"信长协奏曲","13.9万追番","全10话","14年7月开播"
"俺物语！！","197.6万追番","全24话","15年4月开播"
"假面骑士 令和第一世代","45.2万追番","全1话","24年4月开播"
"假面骑士 令和第一世代（中配）","4.8万追番","全1话","24年4月开播"
"假面骑士 平成世代 终章 创骑与艾克赛德联手传奇骑士","48.7万追番","全1话","24年1月开播"
